#Accuracy 0.9574574574574575
i,time,loss,ground_time,compile_time,eval_time
890,656.3463027477264,0.21292853247723542,0.011280794143676762,0.004510560035705567,0.00766346216201782
900,658.8721370697021,0.3258201895907405,0.011266374588012693,0.004531056880950927,0.0076987373828887925
910,661.414913892746,0.2624027007856057,0.011265459060668953,0.004543693065643311,0.007692347764968868
920,663.9231040477753,0.1845787421480054,0.011286332607269293,0.0045332908630371085,0.007600492238998417
930,666.4177672863007,0.2929949939250946,0.016176228523254392,0.004512344598770143,0.007680636644363406
940,668.9380733966827,0.31120597913104575,0.013178887367248529,0.004541571140289303,0.007607101202011107
950,671.4206185340881,0.2631238851703529,0.011247950792312625,0.004474714994430539,0.0075339603424072294
960,673.9331722259521,0.38149321282908205,0.011283155679702752,0.004540833234786988,0.007666611671447755
970,676.4813570976257,0.311258258268208,0.014642038345336917,0.004526815414428708,0.00765160083770752
980,678.9705607891083,0.15657268786235362,0.011250848770141602,0.004499719142913821,0.007617701292037966
990,681.4591491222382,0.25393373244442047,0.0174045705795288,0.004486943483352659,0.007642759084701545
1000,684.0017540454865,0.2512408577946189,0.011260914802551272,0.004521110057830809,0.007593539953231807
1010,686.5295302867889,0.3437749495446042,0.011279617547988896,0.004523001909255978,0.007625218629837033
1020,689.1766774654388,0.22870602241528104,0.01127683043479919,0.004524391889572145,0.007696472406387327
1030,691.664692401886,0.18192510001463233,0.011239832639694212,0.004524885416030885,0.007553145885467532
1040,694.1781170368195,0.2877021112239163,0.01127257466316223,0.004497396945953369,0.007605513334274293
1050,696.6629872322083,0.33006450171524193,0.011262761354446415,0.004503828287124636,0.0075843775272369405
1060,699.1477332115173,0.2373046671749762,0.0112293004989624,0.004510008096694949,0.007606978416442875
1070,701.6066854000092,0.34808770397357874,0.01123286247253418,0.004494613409042359,0.007544392347335821
1080,704.0884821414948,0.1797947977836884,0.011256850957870487,0.004509570598602298,0.00755638837814331
1090,706.5775055885315,0.2362611503340304,0.01123651504516601,0.004489383697509765,0.007593576908111575
1100,709.1059234142303,0.260165206923557,0.011251112222671503,0.00450024962425232,0.007532855272293087
1110,711.614102602005,0.318424766176031,0.02195985555648803,0.004543008804321291,0.007655715942382813
1120,714.1646938323975,0.204852936208772,0.011271049976348877,0.00450542330741882,0.007546435594558716
1130,716.7515435218811,0.32656847864127486,0.012480554580688473,0.004519352912902832,0.007566676139831538
1140,719.2699663639069,0.23292369680057162,0.01863149881362914,0.004500743150711057,0.007466171979904175
1150,721.8231239318848,0.20012523928744486,0.011264802217483515,0.004536420106887818,0.007671201229095455
1160,862.6076462268829,0.25875720143012587,0.011250027418136596,0.004505968093872071,0.007611477375030519
1170,865.0947957038879,0.22795221659471282,0.012529728412628168,0.004504809379577638,0.007555809020996097
1180,867.6369318962097,0.20061251528168214,0.011248399019241325,0.004506694078445438,0.00759552359580994
1190,870.1798713207245,0.2290401712180028,0.0112677550315857,0.0045500195026397725,0.007715425491333002
1200,872.6214911937714,0.20579759372012632,0.011219969987869258,0.0044765865802764895,0.00743656039237976
1210,875.1280274391174,0.25367505898320813,0.011229250431060791,0.004484080076217649,0.007523884773254398
1220,877.6132581233978,0.19840365155214384,0.011265866756439213,0.004539536237716675,0.0075940155982971175
1230,880.1128952503204,0.24135146396874915,0.011243444681167596,0.00449510931968689,0.007548081874847408
1240,882.6391656398773,0.2746674026493565,0.011276646852493287,0.004497392177581787,0.00764654874801636
1250,885.1925444602966,0.2528752832833561,0.011247092485427854,0.004476065635681152,0.007503632307052611
1260,887.6477706432343,0.1611611625587102,0.01125608325004578,0.0045012211799621595,0.007502737045288088
1270,890.1623024940491,0.2721225679058989,0.013609732389450083,0.004470219612121582,0.007545191049575811
1280,892.6960883140564,0.1975921893677878,0.011280493736267093,0.004533491134643558,0.0076771235466003476
1290,895.1863689422607,0.24685752568657335,0.011254035234451292,0.004524109363555904,0.007542476654052733
1300,897.6803267002106,0.14106153865868692,0.011255923509597783,0.004530818462371826,0.00766466975212097
1310,900.1693832874298,0.17367443292896495,0.011220884323120121,0.004542256593704221,0.007548251152038577
1320,902.6659216880798,0.17231195988570108,0.011273297071456901,0.00455444812774658,0.007586042881011964
1330,905.1278450489044,0.2622528078056348,0.011222093105316158,0.004510420560836789,0.0074781286716461195
1340,907.6476826667786,0.15331178442866075,0.011254321336746214,0.004507898092269899,0.007594822645187375
1350,910.1504654884338,0.22540994464725372,0.016182036399841317,0.004515177011489869,0.007534784078598022
1360,912.6183316707611,0.20642724225544953,0.011243447065353396,0.004507718086242679,0.00738734364509582
1370,915.1257514953613,0.19068097810923063,0.01126440167427063,0.004478403329849243,0.007479175329208383
1380,917.6143827438354,0.1203137711254385,0.011256716251373295,0.004487714767456052,0.007456458806991575
1390,920.1015057563782,0.197000855589431,0.011244554519653317,0.004506241083145144,0.007422064542770385
1400,922.5870449542999,0.18207721104117808,0.011257175207138054,0.004530463218688964,0.007494881153106693
1410,925.0896306037903,0.2710374361533468,0.011221544742584232,0.004481066465377806,0.0075510787963867215
1420,927.6161966323853,0.13071401284323655,0.011254560947418214,0.004536174535751342,0.007536659240722656
1430,930.0810115337372,0.2135207898216322,0.024431650638580323,0.004512108564376831,0.007522392272949219
1440,932.5756306648254,0.16935087421516073,0.011244983673095708,0.004490654468536376,0.007396217584609986
1450,935.0566201210022,0.19733271069308103,0.015402377843856816,0.004490054845809936,0.00740584135055542
1460,937.6360187530518,0.19624079789100507,0.011273876428604128,0.004546620845794679,0.007619040012359616
1470,940.1700165271759,0.26337463449381177,0.011257400512695305,0.00450571894645691,0.0075285828113555876
1480,942.7504343986511,0.20937375961621002,0.017411842346191413,0.004520591497421263,0.007480022907257078
1490,945.3772411346436,0.1664436669627321,0.011265693902969356,0.004521940946578979,0.007532222270965576
1500,947.9543135166168,0.10128855664770527,0.011248258352279675,0.004510681629180913,0.007510792016983038
1510,950.4572803974152,0.24407988687653415,0.01124306440353394,0.0045335817337036136,0.00743591904640198
1520,952.8898525238037,0.13904510027605282,0.01124571800231933,0.004500950574874879,0.007396904230117803
1530,955.426680803299,0.12976423021318623,0.020148688554763778,0.004546073675155638,0.007564697265625002
1540,957.8865020275116,0.188928549535558,0.011275199651718141,0.00451537251472473,0.007446968555450439
1550,960.3519043922424,0.2418068549464806,0.011303791999816886,0.0044907212257385256,0.007410783767700195
1560,962.8294124603271,0.14935220899351406,0.011263633966445915,0.004544808864593508,0.007521208524703976
1570,965.2885472774506,0.16461373957245087,0.011250197887420654,0.004490541219711303,0.007353525161743167
1580,967.7378108501434,0.14151475528851734,0.017511216402053838,0.004555741548538205,0.007494170665740968
1590,970.181233882904,0.19479718639940985,0.011264704465866086,0.004505120515823363,0.007477281093597412
1600,972.6534850597382,0.18504850252938923,0.011255342960357672,0.004523236751556398,0.007375538349151613
1610,975.0796003341675,0.16767027446803695,0.011235208511352537,0.0044970774650573715,0.007397730350494384
1620,977.528356552124,0.12100159481706214,0.011246911287307744,0.004508068561553958,0.007312855720520017
1630,980.0932822227478,0.21904673978388017,0.011246043443679809,0.0045175027847290045,0.007421303987503051
1640,982.5981500148773,0.22745235028069147,0.011247614622116093,0.00454352378845215,0.007267159223556518
1650,985.0708677768707,0.2618710588720205,0.011266982555389406,0.004496053457260132,0.0074713933467864995
1660,987.5976881980896,0.1522254860297835,0.01129312515258789,0.0045044672489166285,0.0073736071586608855
1670,990.0763144493103,0.15770515385447653,0.02196180939674377,0.004546893835067751,0.007417908906936643
1680,992.5379953384399,0.18963534373251606,0.011243911981582646,0.004526526927947997,0.00736474275588989
1690,995.048752784729,0.22649699294524908,0.01420326948165894,0.004535630941390989,0.007380799055099485
1700,997.568600654602,0.12741898924468842,0.012810424566268921,0.0045149934291839585,0.007366673946380619
1710,999.9579865932465,0.13026928193630738,0.018666718006134043,0.004487528800964354,0.007292553186416627
1720,1002.3398199081421,0.26630395653082817,0.011225175857543939,0.004512073993682862,0.0072073900699615445
1730,1004.8805525302887,0.21621379671560134,0.011224910020828252,0.004507153034210204,0.007357980012893677
1740,1139.3079631328583,0.15951744344019972,0.014677896499633789,0.004514694213867187,0.0072642409801483175
1750,1141.7720339298248,0.16137520955944637,0.011227015256881717,0.00449016451835632,0.007255177497863767
1760,1144.233674287796,0.09660715502250242,0.01121621012687683,0.004496545791625979,0.00727053880691528
1770,1146.6486778259277,0.12357880342569842,0.013605707883834837,0.004518737792968749,0.00728710532188416
1780,1149.096411705017,0.09946196290657099,0.01617838025093079,0.004515770673751832,0.0073686206340789805
1790,1151.5519165992737,0.1297347388906928,0.0112532913684845,0.0045450782775878894,0.007317769527435307
1800,1154.1004712581635,0.17054912185267312,0.011257078647613519,0.004520710706710815,0.007221267223358153
1810,1156.5345239639282,0.2062998349152622,0.015349863767623892,0.004495472908020017,0.00729191541671753
1820,1159.0275738239288,0.19211703904074967,0.012306321859359745,0.0045288622379303,0.007414327859878544
1830,1161.4601981639862,0.17735241145328473,0.011267639398574825,0.0044959509372711134,0.0073340141773223875
1840,1163.8411719799042,0.1708497795609219,0.011262882947921755,0.004503366947174071,0.007188744544982912
1850,1166.2640075683594,0.24419123528914496,0.011254074573516844,0.004539544582366943,0.0073705315589904785
1860,1168.6926774978638,0.12443042799222895,0.02441896200180054,0.004530342817306518,0.007333135604858401
1870,1171.194010257721,0.19293694957414118,0.011254934072494508,0.00448312044143677,0.007310249805450433
1880,1173.6195254325867,0.11147450956068497,0.012523237466812137,0.004483611583709716,0.007242085933685302
1890,1176.0833892822266,0.12997892524854252,0.014054770469665526,0.004507493972778321,0.0072725141048431375
1900,1178.4954183101654,0.19665620214109367,0.011257355213165288,0.00448880434036255,0.007247757911682133
1910,1180.8986494541168,0.10808005184117064,0.018665177822113035,0.004511764049530029,0.007328206300735475
1920,1183.3418958187103,0.14500296595906548,0.011239839792251582,0.004528169631958009,0.0073317337036132805
1930,1185.786380290985,0.1377214488815298,0.011242825984954834,0.004514573812484739,0.007319623231887817
1940,1188.208440065384,0.15511323600458127,0.011249032020568855,0.00447779655456543,0.007225432395935061
1950,1190.6342916488647,0.09443669181100631,0.0112744390964508,0.004531496763229371,0.007338217496871956
1960,1193.0399215221405,0.18664938980573426,0.01124297261238099,0.004537999629974368,0.007309588193893433
1970,1195.4682304859161,0.10750599815128226,0.011258560419082644,0.004516918659210207,0.0072482192516326914
1980,1197.859263420105,0.22524996301526698,0.011280018091201778,0.0045258831977844265,0.007262806892395024
1990,1200.2631378173828,0.15022452088887803,0.01315886378288269,0.004496021270751952,0.00728936076164245
2000,1202.624692440033,0.1542042749311804,0.011229808330535891,0.004480167627334593,0.007116608619689942
2010,1205.029907464981,0.20961027375997218,0.011249321699142459,0.004491541385650633,0.00719669699668884
2020,1207.449616909027,0.15570414943867944,0.011240789890289312,0.00451893925666809,0.007198653221130368
2030,1209.8715720176697,0.14749811170204338,0.01126308917999267,0.004560788869857788,0.007319940328598023
2040,1212.2571516036987,0.1450601010750688,0.011264046430587758,0.0045315873622894295,0.007244414091110231
2050,1214.6599164009094,0.087469261838487,0.011271649599075317,0.004522322416305543,0.007200568914413452
2060,1217.040275335312,0.17474487428353314,0.011269001960754395,0.004509063959121704,0.0072168505191802955
2070,1219.4917504787445,0.10952876445917355,0.017421561479568477,0.0045154058933258075,0.007273863554000855
2080,1221.8878057003021,0.1265543149138466,0.02012750387191773,0.004488701820373535,0.007176463603973393
2090,1224.3232741355896,0.14755291177079927,0.011241283416748054,0.004512379169464112,0.007108069658279423
2100,1226.714860200882,0.10081746466148615,0.012790683507919306,0.004504890441894532,0.007128392457962036
2110,1229.0849568843842,0.1946053552614103,0.01122555375099182,0.0044974744319915775,0.007136317491531372
2120,1231.5800640583038,0.1088734831135298,0.011244430541992189,0.004491077661514282,0.0072009265422821045
2130,1234.0837230682373,0.10501152592823929,0.011274400949478151,0.0045663070678710945,0.00734079480171204
2140,1236.458342075348,0.1654539567658503,0.011235898733139042,0.004496556520462037,0.007073252201080321
2150,1238.8574295043945,0.11489207598606299,0.011234627962112439,0.004486992359161381,0.006964716911315919
2160,1241.2204144001007,0.09440423844780525,0.011273126602172846,0.0045139968395233165,0.007132835388183596
2170,1243.6278657913208,0.14238725540544692,0.011260876655578613,0.004528102874755855,0.0071965110301971435
2180,1245.9986300468445,0.14753445423102676,0.011285254955291745,0.004522119760513307,0.0070924687385559085
2190,1248.348572254181,0.11858114511960594,0.011278138160705557,0.004528272151947021,0.0069976520538330075
2200,1250.7184946537018,0.15693386525363168,0.011266652345657357,0.004504871368408201,0.00717902421951294
2210,1253.0899662971497,0.14525495271300315,0.011285877227783205,0.004503685235977177,0.007180815935134889
2220,1255.4758586883545,0.197309593141199,0.011271036863327024,0.004513736963272098,0.007132256031036378
2230,1257.8662700653076,0.10380195888174057,0.011256788969039921,0.004503600597381588,0.007098882198333742
2240,1260.2417330741882,0.07869246487380224,0.011243262290954598,0.004518322944641112,0.007074724435806273
2250,1262.681289434433,0.18510004460058554,0.011259922981262206,0.004523988962173461,0.007210749387741089
2260,1265.0928523540497,0.131760160695012,0.011235365867614743,0.004520611763000488,0.007246676683425905
2270,1267.4567036628723,0.25764042434675505,0.01127905011177063,0.0045014131069183345,0.007100418806076049
2280,1269.8370230197906,0.11820774138050183,0.011274229288101192,0.004521521329879762,0.007229508161544798
2290,1272.202876329422,0.1562794462714919,0.011211432218551635,0.004526286125183103,0.007051448822021487
2300,1274.5592069625854,0.09808414290728251,0.021948748826980592,0.004508726596832274,0.007073357105255129
2310,1404.6483447551727,0.1328189550163188,0.011273601055145268,0.004553864002227783,0.007147481441497801
2320,1407.022551059723,0.1029959406215312,0.011221821308135989,0.004456027746200561,0.006893235445022579
2330,1409.455263376236,0.17307594864651038,0.011274545192718505,0.004547436237335207,0.007143247127532959
2340,1411.853393793106,0.16251648419711273,0.011258754730224602,0.004529862403869625,0.007203415632247923
2350,1414.3244788646698,0.12305564916478033,0.01620267748832703,0.0045681297779083235,0.00733699679374695
2360,1416.7389006614685,0.08260228361859845,0.01126581430435181,0.004518401622772216,0.007213418483734127
2370,1419.1612675189972,0.09916291247063783,0.01122826099395752,0.004529371261596679,0.007201238870620731
2380,1421.5481214523315,0.16146411293675555,0.011197390556335448,0.0044943356513977035,0.007046028375625612
2390,1423.9061379432678,0.10613112275509592,0.011277462244033813,0.004542165994644167,0.007137228250503537
2400,1426.2500715255737,0.08300524567857792,0.011236912012100229,0.004498142004013064,0.007023543119430544
2410,1428.5703914165497,0.04710101871914958,0.011259135007858275,0.0044806635379791215,0.006980123519897461
2420,1430.9963929653168,0.1220744280105464,0.01360342741012573,0.004498380422592163,0.0071339762210845935
2430,1433.3655269145966,0.108437266375131,0.01127827405929565,0.004523495435714723,0.00712684392929077
2440,1435.7464349269867,0.06931826621375876,0.011272436380386351,0.004524790048599245,0.007065197229385376
2450,1438.1102135181427,0.09712899726000615,0.011241315603256223,0.00452716112136841,0.007018820047378545
2460,1440.447018623352,0.06183945132261215,0.01124992489814758,0.004495149850845338,0.006956036090850833
2470,1442.8032658100128,0.10553466671030946,0.012830382585525513,0.004501489400863649,0.006766763925552366
2480,1445.1222341060638,0.13330710266127427,0.011245305538177491,0.004493422508239744,0.006907879114151004
2490,1447.4534924030304,0.12553709147468908,0.01864129543304443,0.004490548372268677,0.006918340921401983
2500,1449.7852642536163,0.10374491234115339,0.011282891035079958,0.0045032072067260715,0.0070322906970977745
2510,1452.1088230609894,0.1674241044072005,0.011268196105957036,0.004502077102661132,0.006953791379928585
2520,1454.4524660110474,0.13096975396001653,0.011267129182815555,0.004514166116714478,0.00703981399536133
2530,1456.8090891838074,0.1088435024721548,0.0112714695930481,0.004543596506118769,0.00709360361099243
2540,1459.1617667675018,0.10650346313432238,0.011247785091400146,0.004554041624069216,0.007014930248260496
2550,1461.5452218055725,0.11013073814237942,0.014662387371063235,0.004516866207122803,0.007157219648361206
2560,1463.9434115886688,0.13600911628727771,0.011261293888092038,0.00450960397720337,0.007044301033020016
2570,1466.3406195640564,0.12196479070471469,0.011240962743759162,0.00452055096626282,0.007105951309204102
2580,1468.6575572490692,0.09637166283682745,0.01125974297523499,0.004497660398483278,0.0069321501255035405
2590,1471.013655424118,0.07092730176891564,0.011230232715606685,0.004540027379989627,0.007002052068710329
2600,1473.3460376262665,0.16634141581544098,0.02193061351776122,0.004526205062866212,0.0068376815319061285
2610,1475.729233264923,0.11010431608929139,0.011257559061050419,0.00448131799697876,0.006923217773437501
2620,1478.0326144695282,0.12393610608851305,0.011233618259429933,0.004490269422531131,0.006875778436660769
2630,1480.370682477951,0.07810719026083461,0.01251210927963257,0.0045268452167510995,0.006957125663757324
2640,1482.6951959133148,0.0959681844627994,0.011249659061431883,0.004505493640899661,0.006835308074951173
2650,1485.0275974273682,0.12471652451831687,0.02444523572921753,0.004529398679733279,0.0069459939002990715
2660,1487.3768050670624,0.0775127830067504,0.011232260465621953,0.0045272529125213595,0.006951810121536256
2670,1489.7217993736267,0.12729637192342125,0.011269565820693966,0.00453614592552185,0.006908426284790037
2680,1492.0125005245209,0.11335859350092506,0.011282181739807133,0.004500349760055542,0.006756885051727289
